mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
3.7396042346954346,0.09210316010775856,0.0846900463104248,0.00458791799708908,1.0,0.03,6,300,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.03, 'max_depth': 6, 'n_estimators': 300, 'subsample': 0.8}",0.9348010060391697,0.9412218853222372,0.935699933454341,0.9344200890594844,0.9397182338626565,0.9371722295475777,0.002765736207407424,7
2.974276971817017,0.13890853597231811,0.08104748725891113,0.004754856670483113,1.0,0.03,6,300,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.03, 'max_depth': 6, 'n_estimators': 300, 'subsample': 1.0}",0.9339398396171943,0.9413671033132143,0.9349747066078719,0.9328806322576472,0.9377686409720987,0.9361861845536051,0.003058970672554773,12
1.8484911918640137,0.07859953084521726,0.051444387435913085,0.013587777162840521,1.0,0.05,4,200,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 200, 'subsample': 0.8}",0.9317393447108283,0.9349736277223517,0.9304625915865917,0.9276912460780403,0.9353532868219565,0.9320440193839538,0.0028661553335442972,21
1.3719584465026855,0.0640559043463275,0.047722816467285156,0.004809070526547294,1.0,0.05,4,200,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 200, 'subsample': 1.0}",0.9297477220411133,0.9340795552920197,0.9283010444474942,0.9254099863068347,0.9327238292568432,0.9300524274688609,0.003100535239115991,26
2.5925962924957275,0.09300042489241413,0.05922012329101563,0.0026459391185398883,1.0,0.05,4,300,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.8}",0.934796906274194,0.939824512796877,0.9343383799282411,0.9318267976322684,0.9386891561584407,0.9358951505580043,0.0029471181085429124,13
1.8911172866821289,0.054552982696428436,0.0591468334197998,0.008616300537564804,1.0,0.05,4,300,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 300, 'subsample': 1.0}",0.9333984548633139,0.9374451386713137,0.9324678082138576,0.9301232384874982,0.9344879162147725,0.9335845112901511,0.002407597823681031,20
2.3597537517547607,0.025310473316543396,0.06173257827758789,0.006718196980474865,1.0,0.05,6,200,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.8}",0.9368049280038114,0.9420636318048545,0.9362143460702241,0.9334546669973153,0.9409322779243624,0.9378939701601136,0.00317275762625164,5
1.9561452865600586,0.06830833260161731,0.057895565032958986,0.0023829517441911713,1.0,0.05,6,200,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 200, 'subsample': 1.0}",0.9344449738176062,0.9416502028736332,0.9335169164933977,0.934075064422569,0.9372500013489378,0.9361874317912287,0.0030199612451054093,11
3.2837617874145506,0.22830870383363241,0.055694055557250974,0.012931001410248659,1.0,0.05,6,300,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 300, 'subsample': 0.8}",0.9378961128186273,0.9447317156955403,0.9374201085272522,0.9363291535036173,0.9435615196594203,0.9399877220408914,0.003453406933726917,1
2.429404878616333,0.018847935309937044,0.03943161964416504,0.002401845642077509,1.0,0.05,6,300,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 300, 'subsample': 1.0}",0.9350767691780533,0.9443083610175359,0.9366329536519412,0.9367440456295083,0.9393396679454596,0.9384203594844995,0.0032464791386205443,4
